Name;Price;Rarity
Spell Scroll Level 0;10;Common
Ammunition +1(each);25;Uncommon
Potion of Healing;50;Common
Quaal's Feather Token Anchor;50;Rare
Spell Scroll Level 1;60;Common
Philter of Love;90;Uncommon
Ammunition +2(ea);100;Rare
Potion of Poison;100;Uncommon
Elixir of Health;120;Rare
Dust of Dryness(1 pellet);120;Uncommon
Keoghtom's Ointment(Per dose);120;Uncommon
Spell Scroll Level 2;120;Uncommon
Potion of Fire Breath;150;Uncommon
Potion of Greater Healing;150;Uncommon
Potion of Climbing;180;Common
Potion of Heroism;180;Rare
Potion of Mind Reading;180;Rare
Scroll of Protection;180;Rare
Potion of Water Breathing;180;Uncommon
Potion of Invisibility;180;Very Rare
Potion of Animal Friendship;200;Uncommon
Spell Scroll Level 3;200;Uncommon
Nolzur's Marvelous Pigments;200;Very Rare
Quaal's Feather Token Fan;250;Rare
Quaal's Feather Token Whip;250;Rare
Potion of Diminution;270;Rare
Potion of Growth;270;Uncommon
Universal Solvent;300;Legendary
Necklace of Fireballs(One bead);300;Rare
Potion of Gaseous Form;300;Rare
Dust of Disappearance;300;Uncommon
Potion of Resistance;300;Uncommon
Spell Scroll Level 4;320;Rare
Vicious Weapon;350;Rare
Sovereign Glue;400;Legendary
Ammunition +3(ea);400;Very Rare
Potion of Speed;400;Very Rare
Horn of Blasting;450;Rare
Potion of Superior Healing;450;Very Rare
Necklace of Fireballs(Two beads);480;Rare
Dust of Sneezing and Choking;480;Uncommon
Oil of Slipperiness;480;Uncommon
Adamantine Armor;500;Uncommon
Potion of Flying;500;Very Rare
Arrow of Slaying(ea);600;Very Rare
Spell Scroll Level 5;640;Rare
Mithral Armor;800;Uncommon
Bead of Force;960;Rare
Necklace of Fireballs(Three beads);960;Rare
Potion of Clairvoyance;960;Rare
Elemental Gem;960;Uncommon
Potion of Vitality;960;Very Rare
Sword of Life-Stealing;1000;Rare
+1 Weapon;1000;Uncommon
Ioun Stone Protection;1200;Rare
Wand of the War Mage +1;1200;Uncommon
Spell Scroll Level 6;1280;Very Rare
Potion of Supreme Healing;1350;Very Rare
Prayer Bead - Smiting;1500;Rare
Bracers of Archery;1500;Uncommon
Circlet of Blasting;1500;Uncommon
Javelin of Lightning;1500;Uncommon
Wind Fan;1500;Uncommon
Chime of Opening;1500;Rare
Necklace of Fireballs(Four beads);1600;Rare
Sword of Sharpness;1700;Rare
Staff of the Adder;1800;Uncommon
Oil of Etherealness;1920;Rare
Glamoured Studded Leather;2000;Rare
Prayer Bead - Bless;2000;Rare
Sword of Wounding;2000;Rare
Pipes of the Sewers;2000;Uncommon
Saddle of the Cavalier;2000;Uncommon
Dancing Sword;2000;Very Rare
Frost Brand;2200;Very Rare
Ioun Stone Absorption;2400;Very Rare
Dagger of Venom;2500;Rare
Spell Scroll Level 7;2560;Very Rare
Staff of Withering;3000;Rare
Gloves of Missile Snaring;3000;Uncommon
Ioun Stone Agility;3000;Very Rare
Ioun Stone Fortitude;3000;Very Rare
Ioun Stone Insight;3000;Very Rare
Ioun Stone Intellect;3000;Very Rare
Ioun Stone Leadership;3000;Very Rare
Ioun Stone Strength;3000;Very Rare
Quaal's Feather Token Bird;3000;Rare
Quaal's Feather Token Swan Boat;3000;Rare
Oil of Sharpness;3200;Very Rare
Ring of Protection;3500;Rare
Cloak of Protection;3500;Uncommon
Oathbow;3500;Very Rare
Necklace of Fireballs(Five beads);3840;Rare
Potion of Invulnerability;3840;Rare
Ioun Stone Regeneration;4000;Legendary
+2 Weapon;4000;Rare
Boots of Speed;4000;Rare
Elven Chain;4000;Rare
Iron Bands of Bilarro;4000;Rare
Prayer Bead - Curing;4000;Rare
Rope of Entanglement;4000;Rare
Wand of Enemy Detection;4000;Rare
Dragon Scale Mail;4000;Very Rare
Luckstone;4200;Uncommon
Wand of the War Mage +2;4800;Rare
Flame Tongue;5000;Rare
Ring of Evasion;5000;Rare
Ring of the Ram;5000;Rare
Tentacle Rod;5000;Rare
Periapt of Wound Closure;5000;Uncommon
Gem of Brightness;5000;Uncommon
Spell Scroll Level 8;5120;Very Rare
Armor of Resistance;6000;Rare
Arrow-Catching Shield;6000;Rare
Belt of Dwarvenkind;6000;Rare
Bracers of Defense;6000;Rare
Ioun Stone Reserve;6000;Rare
Ring of Resistance;6000;Rare
Shield of Missile Attraction;6000;Rare
Pearl of Power;6000;Uncommon
Pipes of Haunting;6000;Uncommon
Animated Shield;6000;Very Rare
Robe of Scintillating Colors;6000;Very Rare
Scimitar of Speed;6000;Very Rare
Deck of Illusions;6120;Uncommon
Giant Slayer;7000;Rare
Mace of Smiting;7000;Rare
Brooch of Shielding;7500;Uncommon
Necklace of Fireballs(Six beads);7680;Rare
Amulet of Health;8000;Rare
Dragon Slayer;8000;Rare
Mace of Disruption;8000;Rare
Mace of Terror;8000;Rare
Gauntlets of Ogre Power;8000;Uncommon
Headband of Intellect;8000;Uncommon
Wand of Magic Missiles;8000;Uncommon
Wand of Web;8000;Uncommon
Nine Lives Stealer(Fully Charged);8000;Very Rare
Wand of Binding;10000;Rare
Wand of Fear;10000;Rare
Staff of Thunder and Lightning;10000;Very Rare
Spell Scroll Level 9;10240;Legendary
Ioun Stone Awareness;12000;Rare
Rod of the Pact Keeper +1;12000;Rare
Staff of Charming;12000;Rare
Sunblade;12000;Rare
Staff of Healing;13000;Rare
Ring of Shooting Stars;14000;Very Rare
Ioun Stone Mastery;15000;Legendary
Hammer of Thunderbolts;16000;Legendary
Rod of the Pact Keeper +2;16000;Rare
Staff of Swarming Insects;16000;Rare
Wand of Paralysis;16000;Rare
+3 Weapon;16000;Very Rare
Staff of Fire;16000;Very Rare
Ring of Fire Elemental Command;17000;Legendary
Dwarven Thrower;18000;Very Rare
Wand of the War Mage +3;19200;Very Rare
Efreeti Chain;20000;Legendary
Ring of Free Action;20000;Rare
Sentinel Shield;20000;Uncommon
Staff of Striking;21000;Very Rare
Vorpal Sword;24000;Legendary
Ring of Spell Storing;24000;Rare
Ring of Water Elemental Command;25000;Legendary
Rod of Alertness;25000;Very Rare
Staff of Frost;26000;Very Rare
Instrument of the Bards - Fochulan Bandlore;26500;Uncommon
Instrument of the Bards - Mac-Fuirmidh Cittern;27000;Uncommon
Rod of Lordly Might;28000;Legendary
Rod of the Pact Keeper +3;28000;Very Rare
Instrument of the Bards - Doss Lute;28500;Uncommon
Ring of Spell Turning;30000;Legendary
Instrument of the Bards - Canaith Mandolin;30000;Rare
Mantle of Spell Resistance;30000;Rare
Ioun Stone Greater Absorption;31000;Legendary
Prayer Bead - Favor;32000;Rare
Wand of Fireballs;32000;Rare
Wand of Lightning Bolts;32000;Rare
Wand of Polymorph;32000;Very Rare
Instrument of the Bards - Cli Lyre;35000;Rare
Scarab of Protection;36000;Legendary
Sword of Answering;36000;Legendary
Staff of the Woodlands;44000;Rare
Spellguard Shield;50000;Very Rare
Rod of Absorption;50000;Very Rare
Cloak of Displacement;60000;Rare
Weapon of Warning;60000;Uncommon
Robe of Stars;60000;Very Rare
Talisman of Ultimate Evil;61440;Legendary
Talisman of Pure Good;71680;Legendary
Prayer Bead - Wind Walking;96000;Rare
Instrument of the Bards - Anstruth Harp;109000;Very Rare
Instrument of the Bards - Ollamh Harp;125000;Legendary
Prayer Bead - Summons;128000;Rare
Holy Avenger;165000;Legendary
Robe of Useful Items;Items * 5;Uncommon
